"marker"	"OBO.Ontology.ID"	"species"	"times"	"cell_ID"	"gene_description"	"original_celltype.MSigDB"	"original_celltype.PanglaoDB"	"original_celltype.CellMarker"	"original_celltype.GeneMarkeR"	"original_celltype.Azimuth"	"original_celltype.ASCTB"
"MT-ND3"	"neutrophil"	"Human"	1	"CL:0000775"	"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"MT-ND4"	"eosinophil"	"Human"	1	"CL:0000771"	"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 "	"EOSINOPHIL"	NA	NA	NA	NA	NA
"MT-ND4"	"lymphoid lineage restricted progenitor cell"	"Human"	1	"CL:0000838"	"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 "	"PUTATIVE LYMPHOID PRIMED MULTIPOTENT PROGENITOR 2"	NA	NA	NA	NA	NA
"MT-ND4"	"macrophage dendritic cell progenitor"	"Human"	1	"CL:0002009"	"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 "	"GRANULOCYTE MACROPHAGE PROGENITOR"	NA	NA	NA	NA	NA
"MT-ND4L"	"eosinophil"	"Human"	1	"CL:0000771"	"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L "	"EOSINOPHIL"	NA	NA	NA	NA	NA
"MT-ND5"	"eosinophil"	"Human"	1	"CL:0000771"	"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 "	"EOSINOPHIL"	NA	NA	NA	NA	NA
"MT-ND5"	"hematopoietic multipotent progenitor cell"	"Human"	1	"CL:0000837"	"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 "	"HSC MULTIPOTENT PROGENITOR"	NA	NA	NA	NA	NA
"MT-ND5"	"lymphoid lineage restricted progenitor cell"	"Human"	1	"CL:0000838"	"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 "	"PUTATIVE LYMPHOID PRIMED MULTIPOTENT PROGENITOR 1"	NA	NA	NA	NA	NA
"MT-ND6"	"lymphoid lineage restricted progenitor cell"	"Human"	1	"CL:0000838"	"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 "	"PUTATIVE LYMPHOID PRIMED MULTIPOTENT PROGENITOR 1"	NA	NA	NA	NA	NA
"MT-RNR2"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"mitochondrially encoded 16S rRNA "	"PUTATIVE EARLY ERYTHROID COMMITMENT"	NA	NA	NA	NA	NA
"MT-RNR2"	"lymphoid lineage restricted progenitor cell"	"Human"	1	"CL:0000838"	"mitochondrially encoded 16S rRNA "	"PUTATIVE LYMPHOID PRIMED MULTIPOTENT PROGENITOR 1"	NA	NA	NA	NA	NA
"MT-TF"	"neutrophil progenitor cell"	"Human"	1	"CL:0000834"	"mitochondrially encoded tRNA-Phe (UUU/C) "	NA	NA	NA	"neutrophil progenitor cell"	NA	NA
"MT-TL1"	"lymphoid lineage restricted progenitor cell"	"Human"	1	"CL:0000838"	"mitochondrially encoded tRNA-Leu (UUA/G) 1 "	"PUTATIVE LYMPHOID PRIMED MULTIPOTENT PROGENITOR 2"	NA	NA	NA	NA	NA
"MT-TL1"	"neutrophil progenitor cell"	"Human"	1	"CL:0000834"	"mitochondrially encoded tRNA-Leu (UUA/G) 1 "	NA	NA	NA	"neutrophil progenitor cell"	NA	NA
"MT-TV"	"neutrophil progenitor cell"	"Human"	1	"CL:0000834"	"mitochondrially encoded tRNA-Val (GUN) "	NA	NA	NA	"neutrophil progenitor cell"	NA	NA
"MT1F"	"cytotoxic T cell"	"Human"	1	"CL:0000910"	"metallothionein 1F "	"CD8 T CELL"	NA	NA	NA	NA	NA
"MT1X"	"plasmacytoid dendritic cell"	"Human"	1	"CL:0000784"	"metallothionein 1X "	"CD34 POS PRE PC"	NA	NA	NA	NA	NA
"MT2A"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"metallothionein 2A "	NA	NA	"CD1C-CD141- dendritic cell"	NA	NA	NA
"MTARC1"	"neutrophil"	"Human"	1	"CL:0000775"	"mitochondrial amidoxime reducing component 1 "	"NEUTROPHIL"	NA	NA	NA	NA	NA
"MTCH2"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"mitochondrial carrier 2 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"MTERF2"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"mitochondrial transcription termination factor 2 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"MTERF3"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"mitochondrial transcription termination factor 3 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"MTERF4"	"naive T cell"	"Human"	1	"CL:0000898"	"mitochondrial transcription termination factor 4 "	"NAIVE T CELL"	NA	NA	NA	NA	NA
"MTF2"	"plasmacytoid dendritic cell"	"Human"	1	"CL:0000784"	"metal response element binding transcription factor 2 "	"CD34 POS PRE PC"	NA	NA	NA	NA	NA
"MTFP1"	"naive T cell"	"Human"	1	"CL:0000898"	"mitochondrial fission process 1 "	"NAIVE T CELL"	NA	NA	NA	NA	NA
"MTFR1"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"mitochondrial fission regulator 1 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"MTFR2"	"erythroid lineage cell"	"Human"	1	"CL:0000764"	"mitochondrial fission regulator 2 "	"ERYTHROBLAST"	NA	NA	NA	NA	NA
"MTHFD1"	"erythroid lineage cell"	"Human"	2	"CL:0000764"	"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1 "	"ERYTHROBLAST"	NA	NA	"erythroid lineage cell"	NA	NA
"MTMR11"	"dendritic cell, human"	"Human"	1	"CL:0001056"	"myotubularin related protein 11 "	NA	NA	"CD1C+_B dendritic cell"	NA	NA	NA
