"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"PLAC8"	6.24370879674796e-89	-0.408264784604425	0.177	0.275	2.04406538587935e-84	"0"	"PLAC8"
"TSPO"	1.03195661058231e-87	-0.384385749077403	0.277	0.405	3.37841955172437e-83	"0"	"TSPO"
"LITAF"	3.77449055141989e-81	0.50786500130289	0.307	0.254	1.23569271672384e-76	"0"	"LITAF"
"BTG2"	3.8149979590321e-81	0.544429953571968	0.273	0.215	1.24895403182793e-76	"0"	"BTG2"
"SEPT9"	3.56086769915211e-79	0.529255074865372	0.274	0.219	1.16575686734842e-74	"0"	"SEPT9"
"TSC22D3"	1.62963057408877e-77	-0.306342365378878	0.359	0.482	5.33508457345183e-73	"0"	"TSC22D3"
"TBC1D10C"	1.87324017838187e-74	0.458928722422116	0.357	0.312	6.13261369598656e-70	"0"	"TBC1D10C"
"PKM"	2.39564336204656e-71	0.466601058781872	0.337	0.293	7.84285723866804e-67	"0"	"PKM"
"VAMP2"	2.89911816752401e-71	0.386915862799781	0.489	0.483	9.49113305684011e-67	"0"	"VAMP2"
"LEPROTL1"	7.23775919840249e-71	0.533737047900322	0.253	0.203	2.36949760637301e-66	"0"	"LEPROTL1"
"SSR2"	2.69684830256033e-67	0.330906158970794	0.557	0.572	8.828941972922e-63	"0"	"SSR2"
"COTL1"	2.2264582886575e-62	-0.281294604824995	0.278	0.376	7.28897914540693e-58	"0"	"COTL1"
"UCP2"	1.08671041103098e-60	0.401209523875289	0.396	0.367	3.55767254363322e-56	"0"	"UCP2"
"CD52"	1.2668745973265e-57	-0.257787271104941	0.79	0.81	4.14749405672749e-53	"0"	"CD52"
"CCND3"	4.71913680135047e-57	0.444093122154243	0.321	0.284	1.54495100602612e-52	"0"	"CCND3"
"IFITM2"	3.82686723880538e-51	-0.310346737523896	0.453	0.561	1.2528397966401e-46	"0"	"IFITM2"
"CD48"	1.97526315327132e-48	0.315495548350952	0.448	0.426	6.46661651117964e-44	"0"	"CD48"
"EIF3F"	4.35914826939606e-45	0.290881127726662	0.556	0.584	1.42709796043488e-40	"0"	"EIF3F"
"SEPT1"	1.34478014778921e-36	0.382482161439511	0.318	0.295	4.40254124783231e-32	"0"	"SEPT1"
"UBXN1"	1.91020463513531e-33	0.300373000650464	0.464	0.483	6.25362793450599e-29	"0"	"UBXN1"
"C6orf48"	2.25303287797302e-33	0.261592556096021	0.515	0.518	7.37597903590807e-29	"0"	"C6orf48"
"ALDOA"	4.57346269757643e-33	0.275514445197141	0.485	0.507	1.49726021793257e-28	"0"	"ALDOA"
"CNN2"	2.63991860128393e-32	0.404810758097218	0.283	0.259	8.64256551688334e-28	"0"	"CNN2"
"CD2"	3.43816202305124e-32	0.286965321233991	0.266	0.232	1.12558548310651e-27	"0"	"CD2"
"HNRNPK"	2.55706762093831e-22	0.363834957535213	0.346	0.354	8.37132797742785e-18	"0"	"HNRNPK"
"UBE2D3"	1.31325437289031e-21	0.321130399644834	0.38	0.395	4.29933216596831e-17	"0"	"UBE2D3"
"ANAPC16"	2.44573539153631e-20	0.283325849106462	0.422	0.443	8.00684852481156e-16	"0"	"ANAPC16"
"HNRNPM"	3.54274739106407e-20	0.390403542460042	0.276	0.27	1.15982464088655e-15	"0"	"HNRNPM"
"C1orf162"	7.12894506685056e-20	0.313355201328023	0.252	0.232	2.33387403598554e-15	"0"	"C1orf162"
"ATP6V1G1"	1.36027117506814e-19	0.277526589197337	0.443	0.48	4.45325577293806e-15	"0"	"ATP6V1G1"
"RNASET2"	4.51640192942467e-19	0.291866280855521	0.351	0.351	1.47857966365505e-14	"0"	"RNASET2"
"PRDX2"	1.38559046752985e-17	0.365134502173358	0.311	0.315	4.53614607259923e-13	"0"	"PRDX2"
"RSL1D1"	2.66558951626017e-17	0.377262033412989	0.305	0.31	8.72660695833255e-13	"0"	"RSL1D1"
"ISCU"	3.05146660090149e-15	0.300809046202187	0.351	0.364	9.98989135803131e-11	"0"	"ISCU"
"TUBA1B"	7.58495427994759e-14	0.311503091847444	0.311	0.318	2.48316233216924e-09	"0"	"TUBA1B"
"PCBP2"	1.55441722388788e-13	0.268515549905428	0.408	0.439	5.08885110756414e-09	"0"	"PCBP2"
"HNRNPA0"	4.23127661148057e-13	0.283795570056413	0.381	0.406	1.38523533706651e-08	"0"	"HNRNPA0"
"S1PR4"	3.36639727481062e-11	0.282787325630774	0.257	0.252	1.1020911398275e-06	"0"	"S1PR4"
"ANP32B"	4.55179719422563e-11	0.254490484211501	0.358	0.376	1.49016736544559e-06	"0"	"ANP32B"
"C9orf78"	9.39869665013703e-11	0.324253064763666	0.251	0.251	3.07694530932186e-06	"0"	"C9orf78"
"PTGES3"	3.44494112829017e-10	0.345093993049248	0.275	0.286	1.12780482657964e-05	"0"	"PTGES3"
"ARPC5"	1.58518141243251e-09	0.297933239855042	0.305	0.319	5.18956690802154e-05	"0"	"ARPC5"
"CAP1"	8.97785654189305e-08	0.265563339506899	0.274	0.282	0.00293917067468495	"0"	"CAP1"
"OCIAD2"	7.35420106216747e-06	0.308351871307129	0.249	0.261	0.240761834373239	"0"	"OCIAD2"
"CD44"	6.05005442984051e-05	0.260742869395957	0.267	0.28	1	"0"	"CD44"
"PCBP1"	8.27059423637445e-05	0.254365432482025	0.322	0.35	1	"0"	"PCBP1"
"EIF3D"	0.000280002080366534	0.265983300359685	0.323	0.357	1	"0"	"EIF3D"
"C1QBP"	0.00230032396462554	0.277769529398127	0.257	0.278	1	"0"	"C1QBP"
"CD8B"	0	2.87901518890916	0.727	0.037	0	"1"	"CD8B"
"RP11-291B21.2"	0	2.11395053983638	0.39	0.009	0	"1"	"RP11-291B21.2"
"S100B"	0	1.99714984828818	0.316	0.02	0	"1"	"S100B"
"CD8A"	0	1.56767735655572	0.339	0.032	0	"1"	"CD8A"
"RGS10.1"	0	0.904638875219539	0.513	0.255	0	"1"	"RGS10"
"CD3D.1"	0	0.633329195814014	0.808	0.46	0	"1"	"CD3D"
"NOSIP.1"	0	0.622800337633874	0.699	0.438	0	"1"	"NOSIP"
"RPL31"	0	0.592777956381072	1	0.989	0	"1"	"RPL31"
"RPL34.1"	0	0.591357422620325	0.999	0.973	0	"1"	"RPL34"
"RPS25"	0	0.582603321775062	0.999	0.981	0	"1"	"RPS25"
"RPS12"	0	0.569209008372988	1	0.996	0	"1"	"RPS12"
"RPL32"	0	0.5545064118342	1	0.998	0	"1"	"RPL32"
"CCR7.1"	0	0.552556023292758	0.305	0.144	0	"1"	"CCR7"
"RPS29.1"	0	0.548740713609982	0.947	0.811	0	"1"	"RPS29"
"RPS28.1"	0	0.532719339268622	0.999	0.97	0	"1"	"RPS28"
"RPL36A.1"	0	0.52867335772432	0.934	0.799	0	"1"	"RPL36A"
"RPL21"	0	0.525924184769588	1	0.995	0	"1"	"RPL21"
"RPS13"	0	0.506337002328269	0.999	0.977	0	"1"	"RPS13"
"RPL22.1"	0	0.496291873915879	0.902	0.768	0	"1"	"RPL22"
"RPS16"	0	0.482903807653393	0.999	0.987	0	"1"	"RPS16"
"RPS14"	0	0.48129330665323	1	0.999	0	"1"	"RPS14"
"CD27.1"	0	0.48043941464338	0.547	0.311	0	"1"	"CD27"
